X_lr,X_stdt,Y
0.4008121765316103,0.16690337728874788,0.16078630066482205
0.32348835515841357,0.16078630066482205,0.15759217324964978
0.37305705838547465,0.15759217324964978,0.15827298749154334
0.3446263515811617,0.15827298749154334,0.20447873998576696
0.524573857664249,0.20447873998576696,0.24745245531927498
0.5378503458406009,0.24745245531927498,0.2604205314245296
0.4841513819531771,0.2604205314245296,0.27955737014874943
0.5308097289026824,0.27955737014874943,0.28054393385415866
0.38585781484627074,0.28054393385415866,0.29020310632689555
0.4893012376616809,0.29020310632689555,0.300118587674171
0.5333188234354427,0.300118587674171,0.30941168675157493
0.34938877752007835,0.30941168675157493,0.293490178806619
0.3390481782316833,0.293490178806619,0.29196849840014066
0.43376151123451806,0.29196849840014066,0.29196849840014066
0.40972302043483055,0.29196849840014066,0.2922568773622292
0.44179082907124767,0.2922568773622292,0.2939901120869036
0.3854836504220902,0.2939901120869036,0.29498834528172946
0.449996294765779,0.29498834528172946,0.29462536440456366
0.4337862425897684,0.29462536440456366,0.2805278292188398
0.43376151123451806,0.2805278292188398,0.27932403220003627
0.4177523382715598,0.27932403220003627,0.277744873850708
0.43376151123451806,0.277744873850708,0.2559970457327871
0.40972302043483055,0.2559970457327871,0.249503568933134
0.4096224933779722,0.249503568933134,0.249910538737822
0.34353185982038803,0.249910538737822,0.23475176157359232
0.4589627268178816,0.23475176157359232,0.21170881983104525
0.4585404558067069,0.21170881983104525,0.20479930805181137
0.41760011236024375,0.20479930805181137,0.17860085729056055
0.4501494689599747,0.17860085729056055,0.17535522249959531
0.4095211929388983,0.17535522249959531,0.16325469056384145
0.425756924753039,0.16325469056384145,0.1271934610641308
0.3764244290918856,0.1271934610641308,0.11203847380808729
0.4091000872956818,0.11203847380808729,0.08725691460712279
0.4089920821852994,0.08725691460712279,0.086386164150006
0.4173331121854829,0.086386164150006,0.08687128596760102
0.4341807373205951,0.08687128596760102,0.08517507804467644
0.40888189196952895,0.08517507804467644,0.08077023530415475
0.4342081449689928,0.08077023530415475,0.07683662564462207
0.425756924753039,0.07683662564462207,0.0763572864414859
0.40882612237387533,0.0763572864414859,0.0801444634772884
0.45111153969975853,0.0801444634772884,0.08241577323213528
0.4425217673207786,0.08241577323213528,0.0817426954318419
0.425756924753039,0.0817426954318419,0.08181544605595914
0.4089920821852994,0.08181544605595914,0.09366057855407162
0.36620361249514133,0.09366057855407162,0.0675663002079892
0.4084857567386978,0.0675663002079892,0.06257021375838673
0.4430280927673804,0.06257021375838673,0.05610622736375611
0.39980650998405065,0.05610622736375611,0.05759441845065715
0.434436171507686,0.05759441845065715,0.053276209872090786
0.4344069978538187,0.053276209872090786,0.07806090178110331
0.34683808974813557,0.07806090178110331,0.07806090178110331
0.425756924753039,0.07806090178110331,0.07059679175928571
0.4168372759263777,0.07059679175928571,0.07356895384394596
0.44356622236161264,0.07356895384394596,0.08688303104884482
0.3628771753537491,0.08688303104884482,0.08718648780493443
0.40750610098045137,0.08718648780493443,0.08916103067113498
0.44400774852562624,0.08916103067113498,0.09195822238479245
0.44388004740497017,0.09195822238479245,0.09214862020064224
0.39852498573096745,0.09214862020064224,0.10357499296469336
0.4709852478961555,0.10357499296469336,0.10739298796030519
0.4525171673793526,0.10739298796030519,0.1044910120566443
0.4346151642991256,0.1044910120566443,0.1023431245842005
0.41689868520695217,0.1023431245842005,0.10890860403982469
0.46100945266957927,0.10890860403982469,0.11165702119986501
0.39050439683649846,0.11165702119986501,0.10038931471149753
0.425756924753039,0.10038931471149753,0.09965729480251723
0.425756924753039,0.09965729480251723,0.09972513128117921
0.44344328449237147,0.09972513128117921,0.09845452047581388
0.4080705650137067,0.09845452047581388,0.09957660093275494
0.44344328449237147,0.09957660093275494,0.09923877750307353
0.4169288045597935,0.09923877750307353,0.07406976234310525
0.40800903642504005,0.07406976234310525,0.0755115701553273
0.44350481308103784,0.0755115701553273,0.07528858338325314
0.43458504494628447,0.07528858338325314,0.11347730954269739
0.3269399918418291,0.11347730954269739,0.1008582088532218
0.44400774852562624,0.1008582088532218,0.10058905567376503
0.44388004740497017,0.10058905567376503,0.09944686290175325
0.425756924753039,0.09944686290175325,0.09818632843434585
0.425756924753039,0.09818632843434585,0.0950082225817567
0.425756924753039,0.0950082225817567,0.08637331098356504
0.425756924753039,0.08637331098356504,0.08772522942306113
0.38938297832852037,0.08772522942306113,0.08912460883748982
0.44400774852562624,0.08912460883748982,0.08903110537580589
0.425756924753039,0.08903110537580589,0.0845109379700485
0.44388004740497017,0.0845109379700485,0.08252053449537852
0.39852498573096745,0.08252053449537852,0.08252053449537852
0.425756924753039,0.08252053449537852,0.08315923976548037
0.43486574112317944,0.08315923976548037,0.08324139658606225
0.44388004740497017,0.08324139658606225,0.0822359894642021
0.425756924753039,0.0822359894642021,0.08133462463093236
0.40763380210110806,0.08133462463093236,0.08127109259189216
0.425756924753039,0.08127109259189216,0.0867290955763598
0.46187643152601476,0.0867290955763598,0.08623345440416169
0.4077605406319941,0.08623345440416169,0.09189055769945492
0.4616239027184858,0.09189055769945492,0.045952457002442194
0.398903870279449,0.045952457002442194,0.04588917473468481
0.4436903303999674,0.04588917473468481,0.06974338359532073
0.4962660887291768,0.06974338359532073,0.06974338359532073
0.425756924753039,0.06974338359532073,0.06969922222012231
0.434436171507686,0.06969922222012231,0.07156697438410783
0.4516209245236783,0.07156697438410783,0.11366030308681058
0.3296241630782759,0.11366030308681058,0.10987737019542296
0.45233293327428337,0.10987737019542296,0.14147655751932975
0.529399125624647,0.14147655751932975,0.15186149622833536
0.37445755036509004,0.15186149622833536,0.15180012339913274
0.44297085142289866,0.15180012339913274,0.14844677902752795
